"","quad.coeff","y_flipped","Sample","Sample_id","threshold"
"1",0.0137,1,"WildType_AT_wildtype_101",1,0.9
"2",0.0137,0,"WildType_AT_wildtype_102",2,0.9
"3",0.0137,0,"WildType_AT_wildtype_103",3,0.9
"4",0.0137,0,"WildType_AT_wildtype_104",4,0.9
"5",0.0137,0,"WildType_AT_wildtype_105",5,0.9
"6",0.0137,0,"WildType_AT_wildtype_106",6,0.9
"7",0.0137,1,"WildType_AT_wildtype_107",7,0.9
"8",0.0137,0,"WildType_AT_wildtype_108",8,0.9
"9",0.0137,0,"WildType_AT_wildtype_109",9,0.9
"10",0.0137,0,"WildType_AT_wildtype_110",10,0.9
"11",0.0137,0,"WildType_AT_wildtype_111",11,0.9
"12",0.0137,0,"WildType_AT_wildtype_112",12,0.9
"13",0.0137,0,"WildType_AT_wildtype_113",13,0.9
"14",0.0137,0,"WildType_AT_wildtype_114",14,0.9
"15",0.0137,0,"WildType_AT_wildtype_115",15,0.9
"16",0.0137,0,"WildType_AT_wildtype_116",16,0.9
"17",0.0137,0,"WildType_AT_wildtype_117",17,0.9
"18",0.0137,0,"WildType_AT_wildtype_118",18,0.9
"19",0.0137,0,"WildType_AT_wildtype_119",19,0.9
"20",0.0137,1,"WildType_AT_wildtype_120",20,0.9
"21",0.0137,0,"WildType_AT_wildtype_121",21,0.9
"22",0.0137,1,"WildType_AT_wildtype_122",22,0.9
"23",0.0137,1,"WildType_AT_wildtype_123",23,0.9
"24",0.0137,0,"WildType_AT_wildtype_124",24,0.9
"25",0.0137,0,"WildType_AT_wildtype_125",25,0.9
"26",0.0137,0,"WildType_AT_wildtype_126",26,0.9
"27",0.0137,0,"WildType_AT_wildtype_127",27,0.9
"28",0.0137,0,"WildType_AT_wildtype_128",28,0.9
"29",0.0137,0,"WildType_AT_wildtype_129",29,0.9
"30",0.0137,1,"WildType_AT_wildtype_130",30,0.9
"31",0.0137,0,"WildType_AT_wildtype_131",31,0.9
"32",0.0137,0,"WildType_AT_wildtype_132",32,0.9
"33",0.0137,0,"WildType_AT_wildtype_133",33,0.9
"34",0.0137,0,"WildType_AT_wildtype_134",34,0.9
"35",0.0137,0,"WildType_AT_wildtype_135",35,0.9
"36",0.0137,0,"WildType_AT_wildtype_136",36,0.9
"37",0.0137,0,"WildType_AT_wildtype_137",37,0.9
"38",0.0137,0,"WildType_AT_wildtype_138",38,0.9
"39",0.0137,0,"WildType_AT_wildtype_139",39,0.9
"40",0.0137,0,"WildType_AT_wildtype_140",40,0.9
"41",0.0137,0,"WildType_AT_wildtype_141",41,0.9
"42",0.0137,0,"WildType_AT_wildtype_142",42,0.9
"43",0.0137,0,"WildType_AT_wildtype_143",43,0.9
