"","threshold","z_mean","lm.intercept_xz","lm.slope_xz","quad.slope_xz","lm.intercept_xy","lm.slope_xy","quad.slope_xy","lm.intercept_yz","lm.slope_yz","quad.slope_yz","Sample","Sample_id"
"1",0.6,"0.014",0.0136,0,0.00023,14.9232,0,0.01366,0.0136,0,0.01027,"WildType_AT_wildtype_101",1
"2",0.6,"-0.018",-0.018,0,9e-05,5.6954,0,0.01134,-0.018,0,-0.01709,"WildType_AT_wildtype_102",2
"3",0.6,"-0.24",-0.239,0,-0.00019,5.9683,0,0.00408,-0.239,0,-0.01974,"WildType_AT_wildtype_103",3
"4",0.6,"5.9e-17",0,0,0.00047,9.7099,0,0.01865,0,0,-0.00736,"WildType_AT_wildtype_104",4
"5",0.6,"2.9e-18",0,0,-0.00027,-6.1254,0,-0.01133,0,0,0.01528,"WildType_AT_wildtype_105",5
"6",0.6,"3.4e-17",0,0,0.00022,10.6627,0,0.01944,0,0,-0.00787,"WildType_AT_wildtype_106",6
"7",0.6,"-4.3e-17",0,0,3e-05,7.4538,0,0.01888,0,0,-0.00585,"WildType_AT_wildtype_107",7
"8",0.6,"-1.1e-16",0,0,-0.00098,11.9899,0,0.01755,0,0,-0.00485,"WildType_AT_wildtype_108",8
"9",0.6,"-0.011",-0.0109,0,0.00053,14.0848,0,0.01671,-0.0109,0,-0.01295,"WildType_AT_wildtype_109",9
"10",0.6,"-4e-17",0,0,0.00038,-13.6637,0,-0.01828,0,0,-0.00303,"WildType_AT_wildtype_110",10
"11",0.6,"-4.1e-18",0,0,0.00038,8.97,0,0.02485,0,0,-0.00054,"WildType_AT_wildtype_111",11
"12",0.6,"-1.6e-18",0,0,0.00014,8.4038,0,0.01729,0,0,-0.00176,"WildType_AT_wildtype_112",12
"13",0.6,"-0.11",-0.1105,0,-0.00024,14.0136,0,0.01281,-0.1105,0,-0.01735,"WildType_AT_wildtype_113",13
"14",0.6,"0.092",0.0922,0,9e-04,13.3271,0,0.01794,0.0922,0,0.00211,"WildType_AT_wildtype_114",14
"15",0.6,"0.0084",0.0084,0,1e-04,9.6887,0,0.01094,0.0084,0,-0.00625,"WildType_AT_wildtype_115",15
"16",0.6,"0.00021",2e-04,0,0.00052,10.5452,0,0.01179,2e-04,0,-0.00082,"WildType_AT_wildtype_116",16
"17",0.6,"-0.13",-0.1301,0,-0.00039,7.6187,0,0.00588,-0.1301,0,-0.02562,"WildType_AT_wildtype_117",17
"18",0.6,"-3.7e-17",0,0,-3e-04,10.0035,0,0.01658,0,0,-0.01318,"WildType_AT_wildtype_118",18
"19",0.6,"-3.3e-17",0,0,0.00022,15.8024,0,0.02116,0,0,-0.00477,"WildType_AT_wildtype_119",19
"20",0.6,"-5.7e-17",0,0,0.00158,-14.2504,0,-0.0238,0,0,-0.00409,"WildType_AT_wildtype_120",20
"21",0.6,"0.083",0.0827,0,0.00024,7.2283,0,0.01634,0.0827,0,0.00563,"WildType_AT_wildtype_121",21
"22",0.6,"-4.7e-17",0,0,-0.00151,-7.6866,0,-0.01284,0,0,-0.01235,"WildType_AT_wildtype_122",22
"23",0.6,"-2.1e-18",0,0,-0.00121,10.7966,0,0.02827,0,0,-7e-04,"WildType_AT_wildtype_123",23
"24",0.6,"4e-19",0,0,0.00097,6.6634,0,0.02201,0,0,-0.00534,"WildType_AT_wildtype_124",24
"25",0.6,"-6.3e-17",0,0,4e-04,12.4314,0,0.0312,0,0,-0.00281,"WildType_AT_wildtype_125",25
"26",0.6,"-0.14",-0.1383,0,-0.00126,8.6226,0,0.00771,-0.1383,0,-0.02216,"WildType_AT_wildtype_126",26
"27",0.6,"8.7e-17",0,0,0.0015,8.866,0,0.01436,0,0,-0.00551,"WildType_AT_wildtype_127",27
"28",0.6,"-5.1e-05",-1e-04,0,4e-04,10.5558,0,0.01345,-1e-04,0,-0.01011,"WildType_AT_wildtype_128",28
"29",0.6,"-2.9e-19",0,0,6e-05,8.753,0,0.02047,0,0,-0.00741,"WildType_AT_wildtype_129",29
"30",0.6,"-0.041",-0.0408,0,-0.00106,5.561,0,0.00722,-0.0408,0,-0.02212,"WildType_AT_wildtype_130",30
"31",0.6,"-1e-16",0,0,-0.00132,5.3708,0,0.01276,0,0,-0.02975,"WildType_AT_wildtype_131",31
"32",0.6,"-0.33",-0.3251,0,-0.00033,13.3249,0,0.0087,-0.3251,0,-0.01212,"WildType_AT_wildtype_132",32
"33",0.6,"-0.011",-0.0106,0,-0.00046,13.522,0,0.01673,-0.0106,0,-0.00453,"WildType_AT_wildtype_133",33
"34",0.6,"2.7e-17",0,0,-0.00065,5.7071,0,0.01173,0,0,-0.01269,"WildType_AT_wildtype_134",34
"35",0.6,"3e-17",0,0,-0.00051,2.9367,0,0.01806,0,0,0.0053,"WildType_AT_wildtype_135",35
"36",0.6,"1.9e-17",0,0,-0.00092,6.5547,0,0.01889,0,0,-0.01597,"WildType_AT_wildtype_136",36
"37",0.6,"7.8e-17",0,0,-0.00091,8.1747,0,0.01354,0,0,-0.0201,"WildType_AT_wildtype_137",37
"38",0.6,"-7.3e-17",0,0,0.00088,7.6841,0,0.02353,0,0,-0.01915,"WildType_AT_wildtype_138",38
