"","threshold","z_mean","lm.intercept_xz","lm.slope_xz","quad.slope_xz","lm.intercept_xy","lm.slope_xy","quad.slope_xy","lm.intercept_yz","lm.slope_yz","quad.slope_yz","Sample","Sample_id"
"1",0.6,"1.7e-16",0,0,0.00185,4.1368,0,0.00819,0,0,-0.01811,"YouToo_AT_01",1
"2",0.6,"0.045",0.0455,0,0.00138,-4.2416,0,-0.00913,0.0455,0,0.01564,"YouToo_AT_02",2
"3",0.6,"-1.2e-17",0,0,0.00775,-3.7857,0,-0.00858,0,0,-0.00642,"YouToo_AT_03",3
"4",0.6,"-6.9e-17",0,0,0.00546,-0.5525,0,-0.0011,0,0,-0.00136,"YouToo_AT_04",4
"5",0.6,"-2.4e-17",0,0,0.00556,-2.2831,0,-0.00359,0,0,0.0095,"YouToo_AT_05",5
"6",0.6,"9.5e-17",0,0,-0.00159,-8.4974,0,-0.01344,0,0,-0.02417,"YouToo_AT_06",6
"7",0.6,"-2e-16",0,0,-0.00538,-7.6016,0,-0.01118,0,0,-0.02836,"YouToo_AT_112",7
"8",0.6,"1.6e-17",0,0,0.00219,-9.6603,0,-0.01455,0,0,0.02148,"YouToo_AT_152",8
"9",0.6,"5.7e-18",0,0,0.00114,-10.0462,0,-0.01319,0,0,0.00597,"YouToo_AT_172",9
"10",0.6,"9.1e-17",0,0,0.00112,-8.601,0,-0.01312,0,0,-0.02356,"YouToo_AT_19",10
"11",0.6,"-0.052",-0.0522,0,0.00059,5.7727,0,0.01391,-0.0522,0,0.00708,"YouToo_AT_21",11
"12",0.6,"1e-16",0,0,0.00442,-5.1404,0,-0.01032,0,0,0.01858,"YouToo_AT_24",12
"13",0.6,"-9.4e-17",0,0,-0.01084,-2.209,0,-0.00657,0,0,-0.00467,"YouToo_AT_317",13
"14",0.6,"-3e-17",0,0,0.00033,9.601,0,0.02308,0,0,-0.02058,"YouToo_AT_318",14
"15",0.6,"-7.1e-18",0,0,-0.00987,-7.9816,0,-0.02177,0,0,0.00711,"YouToo_AT_319",15
"16",0.6,"3.6e-16",0,0,0.00021,-7.7888,0,-0.01779,0,0,0.00322,"YouToo_AT_320",16
"17",0.6,"-1.9e-16",0,0,-0.00227,5.666,0,0.0172,0,0,-0.00455,"YouToo_AT_321",17
"18",0.6,"5.3e-17",0,0,-0.00162,-8.1323,0,-0.0133,0,0,-0.01335,"YouToo_AT_323",18
"19",0.6,"8.4e-17",0,0,-0.01522,-2.8793,0,-0.01177,0,0,-0.02478,"YouToo_AT_324",19
"20",0.6,"-1.9e-16",0,0,-0.01416,-0.3924,0,-0.00143,0,0,-0.01061,"YouToo_AT_325",20
"21",0.6,"1.4e-16",0,0,-0.01038,-6.8387,0,-0.02032,0,0,-0.01415,"YouToo_AT_326",21
"22",0.6,"-1.3e-16",0,0,0.00339,-15.0969,0,-0.03917,0,0,-0.01269,"YouToo_AT_327",22
"23",0.6,"-1.2e-17",0,0,-0.00522,6.2718,0,0.02056,0,0,0.00234,"YouToo_AT_328",23
"24",0.6,"2.2e-16",0,0,0.00654,-13.6994,0,-0.03,0,0,-0.00257,"YouToo_AT_329",24
"25",0.6,"-6.5e-18",0,0,-0.00245,8.8842,0,0.02038,0,0,-0.01926,"YouToo_AT_330",25
"26",0.6,"2.2e-16",0,0,-0.00367,-5.2839,0,-0.01504,0,0,-0.00823,"YouToo_AT_331",26
"27",0.6,"-2.1e-16",0,0,-0.0104,-6.2729,0,-0.0195,0,0,-0.00795,"YouToo_AT_332",27
"28",0.6,"3.8e-17",0,0,-0.00095,12.3003,0,0.01466,0,0,-0.00107,"YouToo_AT_333",28
"29",0.6,"-0.0021",-0.0021,0,-0.00315,3.7419,0,0.00658,-0.0021,0,-0.00545,"YouToo_AT_334",29
"30",0.6,"-0.00093",-9e-04,0,-0.00687,4.5337,0,0.00982,-9e-04,0,-0.00563,"YouToo_AT_335",30
"31",0.6,"1.4e-16",0,0,-0.00563,6.9352,0,0.01098,0,0,-0.00144,"YouToo_AT_336",31
"32",0.6,"-1.4e-16",0,0,-0.00675,2.6743,0,0.00608,0,0,0.00918,"YouToo_AT_337",32
"33",0.6,"-2.5e-17",0,0,-0.00989,-2.439,0,-0.00332,0,0,0.00189,"YouToo_AT_338",33
"34",0.6,"-9.4e-17",0,0,-0.00559,0.097,0,0.00012,0,0,-0.01939,"YouToo_AT_339",34
"35",0.6,"-1.9e-16",0,0,-0.01096,4.8608,0,0.01001,0,0,0.0095,"YouToo_AT_340",35
