"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold"
"1",0.918147268767582,0.918143104929387,2.15662464255148,220505.030652964,0,3,-86008.1387974292,172024.277594858,172058.595447425,182859.889537792,39316,39319,0.936,-0.0135,2.15654236684071,1,0.87
"2",0.948408386994768,0.94840503536656,0.851876073651467,282969.448920504,0,3,-38750.284023392,77508.5680467841,77541.9076978333,22341.179921855,30786,30789,0.804,0.0106,0.851834570347082,2,0.87
"3",0.804688916824937,0.804680735742014,1.82412587675771,98359.7066972437,0,3,-96455.3829194998,192918.765839,192953.860776383,158875.049175134,47747,47750,0.842,0.0039,1.82406857347409,3,0.87
"4",0.942472712139612,0.942470894388199,1.65948001831657,518482.728228473,0,3,-121875.181137173,243758.362274347,243794.584710395,174306.450474796,63295,63298,0.614,0.0187,1.65944069243705,4,0.87
"5",0.907439439406686,0.907434010316382,1.12074176889804,167143.920729043,0,3,-52272.9217529371,104553.843505874,104587.591833828,42829.2059138224,34098,34101,0.728,0.0104,1.12069246976815,5,0.87
"6",0.97608049942756,0.976079905515765,1.26132750560043,1643477.21036823,0,3,-132998.171013689,266004.342027378,266041.528660248,128149.19605567,80549,80552,0.802,0.0194,1.26130401755699,6,0.87
"7",0.963499738230967,0.963498328110556,1.11261791074295,683274.797645374,0,3,-78984.6717788076,157977.343557615,158012.761976581,64085.8087957763,51769,51772,0.571,0.0188,1.11258567418566,7,0.87
"8",0.927490301538425,0.927489381679767,2.32527791482028,1008296.53895352,0,3,-356741.306638319,713490.613276637,713530.485984902,852422.152807974,157654,157657,0.743,0.0176,2.3252557912643,8,0.87
"9",0.91001212049579,0.91001036288569,2.75890995563881,517755.400104569,0,3,-249219.410942755,498446.82188551,498484.968492539,779410.99310798,102398,102401,0.619,0.0176,2.75886954201742,9,0.87
"10",0.922352008156125,0.922346904268667,2.06342356125446,180715.585076526,0,3,-65219.2728860149,130446.54577203,130479.838509001,129549.548864872,30427,30430,0.944,-0.0135,2.06332184545983,10,0.87
