"","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE","Sample","threshold","Sample_id"
"1",0.246112708776819,0.246042628619606,4.77688374562829,3511.87438160813,0,3,-64180.8179976377,128369.635995275,128401.542575568,490942.573138615,21515,21518,0.201,0.0082,4.77655074184634,"YouToo_AT_01",0.4,1
"2",0.320345126121047,0.320297405926287,5.20694069588204,6712.98865663929,0,3,-87426.2067622042,174860.413524408,174893.442477308,772291.91172617,28485,28488,0.326,-0.0086,5.20666652371557,"YouToo_AT_02",0.4,2
"3",0.0978271369786822,0.0977385148899769,5.76929270562628,1103.86855475551,0,3,-64579.5105397943,129167.021079589,129198.706978819,677677.272260201,20360,20363,0.151,-0.0071,5.76886770646999,"YouToo_AT_03",0.4,3
"4",0.000293892197847747,0.00022612010729095,7.06677198048799,4.33647826758109,0.0130908603355137,3,-99558.470340962,199124.940681924,199158.109942002,1473308.23214665,29502,29505,0.079,3e-04,7.06641270485897,"YouToo_AT_04",0.4,4
"5",0.00369782581074346,0.0036106831382875,6.5416196020443,42.4341566138137,4.02898345173427e-19,3,-75400.4129600306,150808.825920061,150840.976070304,978499.867950163,22866,22869,0.038,-0.001,6.54119051676608,"YouToo_AT_05",0.4,5
"6",0.627064167788875,0.627047040999795,4.42848450392517,36613.060677615,0,3,-126606.895007106,253221.790014211,253256.516949676,854079.736315558,43550,43553,0.51,-0.0131,4.42833198076603,"YouToo_AT_06",0.4,6
"7",0.514875512268711,0.514841775039479,4.01454940445223,15261.3455224483,0,3,-80787.0361158858,161582.072231772,161615.139473173,463497.498434934,28759,28762,0.3,0.0104,4.01434003162904,"YouToo_AT_112",0.4,7
"8",0.795301034365693,0.795286700707991,2.53987162132979,55484.8630357365,0,3,-67156.302305754,134320.604611508,134353.644361393,184251.972572714,28562,28565,0.628,-0.0142,2.53973824455867,"YouToo_AT_152",0.4,8
"9",0.598499844444107,0.598462189095403,3.92094561250283,15894.1522265411,0,3,-59402.7680064783,118813.536012957,118845.407117126,327846.594131576,21325,21328,0.573,-0.012,3.92066984237653,"YouToo_AT_172",0.4,9
"10",0.705509057499574,0.705460324925935,2.24351791219104,14477.1557259822,0,3,-26920.50532366,53849.01064732,53878.6108522288,60833.3415133842,12086,12089,0.347,-0.0115,2.24323951979501,"YouToo_AT_19",0.4,10
"11",0.736180060918781,0.736147793313708,2.95785298594048,22814.8342351749,0,3,-40941.6427741432,81891.2855482863,81922.0947040462,143061.919371818,16352,16355,0.733,-0.0142,2.95758169380001,"YouToo_AT_21",0.4,11
"12",0.528190611798932,0.528111819315932,3.23905199534953,6703.56602167511,0,3,-31074.6519223945,62157.3038447889,62186.8674863719,125645.698955047,11976,11979,0.092,-0.0096,3.23864637866829,"YouToo_AT_24",0.4,12
"13",0.0369328094827996,0.0369074509280963,7.22526324248005,1456.42407128884,0,3,-257994.929872959,515997.859745919,516034.811541919,3965239.60328551,75956,75959,0.04,-0.0052,7.22512056021887,"YouToo_AT_317",0.4,13
"14",0.644439388993276,0.644428574941632,5.12568183094362,59592.7789369326,0,3,-200783.175779706,401574.351559412,401610.726749183,1727660.8392864,65759,65762,0.238,-0.0218,5.12556491524102,"YouToo_AT_318",0.4,14
"15",0.471389057303383,0.471379230907943,6.24150151411359,47971.7166055514,0,3,-349692.891039714,699393.782079427,699432.126522903,4191312.7444019,107590,107593,0.112,-0.0211,6.24141449806669,"YouToo_AT_319",0.4,15
"16",0.417652568441109,0.417646005005007,7.40091573608472,63633.2192421775,0,3,-606990.829198374,1213989.65839675,1214030.00428609,9719676.65696202,177452,177455,0.01,-0.0186,7.40085317701045,"YouToo_AT_320",0.4,16
"17",0.742768171727841,0.74275928711241,2.52795373887704,83601.6119638095,0,3,-135870.861049806,271749.722099612,271785.588542906,370044.80388228,57905,57908,0.44,-0.0176,2.52788825604702,"YouToo_AT_321",0.4,17
"18",0.786254696509379,0.78623778092664,2.83397086921917,46481.0883927956,0,3,-62190.6045793753,124389.209158751,124421.759442926,202969.310510994,25272,25275,0.58,-0.0132,2.83380267604598,"YouToo_AT_323",0.4,18
"19",0.176055303039422,0.176036656694329,5.764253117096,9441.81297531697,0,3,-280214.205623859,560436.411247719,560473.968806374,2936435.23868292,88376,88379,0.174,-0.0133,5.76415528330006,"YouToo_AT_324",0.4,19
