"r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","num.signal","adj.r.squared.original","quad.coeff","RMSE"
0.246112708776819,0.246042628619606,4.77688374562829,3511.87438160813,0,3,-64180.8179976377,128369.635995275,128401.542575568,490942.573138615,21515,21518,0.201,0.0082,4.77655074184634
0.320345126121047,0.320297405926287,5.20694069588204,6712.98865663929,0,3,-87426.2067622042,174860.413524408,174893.442477308,772291.91172617,28485,28488,0.326,-0.0086,5.20666652371557
0.0978271369786822,0.0977385148899769,5.76929270562628,1103.86855475551,0,3,-64579.5105397943,129167.021079589,129198.706978819,677677.272260201,20360,20363,0.151,-0.0071,5.76886770646999
0.000293892197847747,0.00022612010729095,7.06677198048799,4.33647826758109,0.0130908603355137,3,-99558.470340962,199124.940681924,199158.109942002,1473308.23214665,29502,29505,0.079,3e-04,7.06641270485897
0.00369782581074346,0.0036106831382875,6.5416196020443,42.4341566138137,4.02898345173427e-19,3,-75400.4129600306,150808.825920061,150840.976070304,978499.867950163,22866,22869,0.038,-0.001,6.54119051676608
0.627064167788875,0.627047040999795,4.42848450392517,36613.060677615,0,3,-126606.895007106,253221.790014211,253256.516949676,854079.736315558,43550,43553,0.51,-0.0131,4.42833198076603
0.514875512268711,0.514841775039479,4.01454940445223,15261.3455224483,0,3,-80787.0361158858,161582.072231772,161615.139473173,463497.498434934,28759,28762,0.3,0.0104,4.01434003162904
0.795301034365693,0.795286700707991,2.53987162132979,55484.8630357365,0,3,-67156.302305754,134320.604611508,134353.644361393,184251.972572714,28562,28565,0.628,-0.0142,2.53973824455867
0.598499844444107,0.598462189095403,3.92094561250283,15894.1522265411,0,3,-59402.7680064783,118813.536012957,118845.407117126,327846.594131576,21325,21328,0.573,-0.012,3.92066984237653
0.256736962185856,0.256631234868955,4.69468233046642,2428.29355469426,0,3,-41700.4838385356,83408.9676770713,83439.1728871268,309882.99310695,14060,14063,0.2,0.0083,4.69418155544708
0.367662018177337,0.367593716386256,4.72408599997259,5382.90449432527,0,3,-55029.7942897477,110067.588579495,110098.89478954,413221.359716597,18516,18519,0.344,-0.0092,4.72370334345744
0.131187368246257,0.131056463826827,5.00650424833682,1002.16149170492,0,3,-40223.5140562857,80455.0281125714,80485.003266547,332713.93548407,13274,13277,0.233,-0.0077,5.00593859490332
0.000616470336798079,0.000513035899863401,6.83883585000049,5.96001056386267,0.00258462951756573,3,-64580.7537196226,129169.507439245,129200.984472689,903777.21483556,19324,19327,0.126,-5e-04,6.83830505619463
0.0275993183468081,0.0274583294122491,6.10744558929997,195.755208968297,1.47475901219146e-84,3,-44541.3851444945,89090.770288989,89120.8991148138,514528.499092626,13794,13797,0.036,-0.0025,6.10678155607275
